candidate,prompt,seconds
ollama-llama3.2-1b,threat_assessment,2.8574079999962123
ollama-llama3.2-1b,threat_assessment,2.5982336000015493
ollama-llama3.2-1b,threat_assessment,2.6251074000028893
ollama-llama3.2-1b,threat_assessment,2.6608352000039304
ollama-llama3.2-1b,threat_assessment,2.695128299994394
ollama-llama3.2-1b,dialogue_generation,2.5271651999937603
ollama-llama3.2-1b,dialogue_generation,2.435621099997661
ollama-llama3.2-1b,dialogue_generation,2.598248100010096
ollama-llama3.2-1b,dialogue_generation,2.453263600007631
ollama-llama3.2-1b,dialogue_generation,2.859953699997277
ollama-llama3.2-1b,memory_tagging,3.256710599991493
ollama-llama3.2-1b,memory_tagging,3.28766600000381
ollama-llama3.2-1b,memory_tagging,3.137798900002963
ollama-llama3.2-1b,memory_tagging,3.2493656000006013
ollama-llama3.2-1b,memory_tagging,3.2815551000094274
ollama-llama3.2-3b,threat_assessment,2.948092300008284
ollama-llama3.2-3b,threat_assessment,2.931336999987252
ollama-llama3.2-3b,threat_assessment,3.0354883999971207
ollama-llama3.2-3b,threat_assessment,3.0034797999978764
ollama-llama3.2-3b,threat_assessment,2.856447500002105
ollama-llama3.2-3b,dialogue_generation,2.5298034000006737
ollama-llama3.2-3b,dialogue_generation,2.598643900011666
ollama-llama3.2-3b,dialogue_generation,2.3774568999942858
ollama-llama3.2-3b,dialogue_generation,2.5945705999911297
ollama-llama3.2-3b,dialogue_generation,2.6641306999954395
ollama-llama3.2-3b,memory_tagging,4.015144300006796
ollama-llama3.2-3b,memory_tagging,3.918627800012473
ollama-llama3.2-3b,memory_tagging,3.9653552000090713
ollama-llama3.2-3b,memory_tagging,3.8577039999945555
ollama-llama3.2-3b,memory_tagging,4.06140449999657
ollama-qwen2.5-1.5b,threat_assessment,2.63113589999557
ollama-qwen2.5-1.5b,threat_assessment,2.551708700004383
ollama-qwen2.5-1.5b,threat_assessment,2.683130399993388
ollama-qwen2.5-1.5b,threat_assessment,2.7820178999972995
ollama-qwen2.5-1.5b,threat_assessment,2.6261083999997936
ollama-qwen2.5-1.5b,dialogue_generation,2.393826600004104
ollama-qwen2.5-1.5b,dialogue_generation,2.5078932999895187
ollama-qwen2.5-1.5b,dialogue_generation,2.7126082999893697
ollama-qwen2.5-1.5b,dialogue_generation,2.6577866000006907
ollama-qwen2.5-1.5b,dialogue_generation,2.506392399998731
ollama-qwen2.5-1.5b,memory_tagging,3.3802713999903062
ollama-qwen2.5-1.5b,memory_tagging,3.39816620000056
ollama-qwen2.5-1.5b,memory_tagging,3.2438906999886967
ollama-qwen2.5-1.5b,memory_tagging,3.3119917000003625
ollama-qwen2.5-1.5b,memory_tagging,3.410950400008005
